Crop,Month,Previous_Price,Current_Price,Next_Week_Price
Tomato,1,16.68,18.83,19.81
Tomato,11,79.7,77.83,76.9
Tomato,11,61.01,70.61,76.39
Onion,5,37.3,39.73,41.18
Onion,7,40.51,35.71,32.71
Pumpkin,9,23.19,26.76,28.73
Beans,5,64.87,72.91,78.56
Onion,6,9.98,11.64,12.23
Beans,5,82.66,91.02,97.52
Okra,4,74.8,68.94,66.76
Cucumber,10,36.23,30.83,26.95
Ginger,12,145.43,170.87,181.9
Brinjal,11,43.52,51.0,55.41
Cauliflower,5,24.69,24.79,24.85
Beans,11,106.21,112.78,117.49
Okra,10,44.56,44.7,44.75
Potato,8,23.4,24.75,25.71
Cucumber,2,22.48,26.42,29.39
Brinjal,3,59.99,69.69,75.43
Beans,11,122.26,115.7,111.99
GreenChilli,4,77.56,74.79,73.78
GreenChilli,6,70.51,68.71,67.34
Carrot,9,24.44,22.34,21.34
Tomato,6,61.96,57.89,54.83
Onion,7,45.81,41.83,39.69
Tomato,1,37.06,36.52,36.25
Potato,4,37.75,32.16,30.33
Pumpkin,5,26.32,31.55,34.96
Carrot,5,40.36,36.44,34.77
Carrot,5,57.37,61.65,64.93
Onion,12,41.9,38.01,35.38
Cabbage,2,47.85,44.85,43.77
Onion,12,39.77,46.55,50.76
Cauliflower,9,24.6,28.65,30.64
Tomato,12,64.36,67.12,68.23
Cabbage,3,36.85,37.86,38.54
Onion,4,22.75,23.38,23.75
Cauliflower,8,26.51,27.11,27.53
Cauliflower,12,68.34,62.38,57.85
GreenChilli,5,30.84,32.12,32.76
Tomato,1,79.6,76.03,73.38
Brinjal,11,31.21,27.24,24.65
Ginger,7,139.32,159.43,169.91
Beans,5,61.72,56.33,54.39
Potato,9,8.52,9.9,10.6
Beans,2,27.43,24.81,23.68
Ginger,6,119.18,119.36,119.49
Cauliflower,5,27.58,26.08,25.17
Cabbage,9,33.39,35.05,36.22
Okra,11,63.1,62.71,62.5
Beans,7,80.79,92.36,97.53
Onion,10,45.96,50.54,53.86
Rice,8,63.49,55.7,50.02
Pumpkin,9,19.41,18.74,18.39
Onion,7,19.36,19.66,19.88
Pumpkin,9,41.01,44.08,45.86
Potato,2,19.61,22.63,24.45
Cauliflower,2,54.68,49.28,45.25
Okra,7,58.99,52.84,50.27
Cabbage,11,12.62,14.91,16.11
Beans,5,93.84,87.89,84.53
Cabbage,5,38.43,38.57,38.67
Carrot,5,50.46,44.62,41.06
Brinjal,5,32.88,35.04,35.86
